"TEMP","PRES","DEWP","RAIN","WSPM","CO"
-3.4,1017.3,-4.7,0,1.1,5300
-2.6,1017.3,-3.2,0,1.8,4100
-3.4,1017.9,-3.7,0,2.1,3600
-3,1018.3,-3.1,0,0.9,3000
-2.8,1018.9,-2.9,0,0.9,2100
-2.6,1019.1,-3.2,0,0.9,1700
-2.5,1019.9,-3.1,0,0.8,1400
-1.4,1020.1,-3.1,0,0.9,1300
-0.1,1020,-4.4,0,1.5,1200
1.7,1018.8,-5.7,0,1.3,1200
1.8,1017.7,-7,0,2.3,1200
2.3,1017.5,-6.8,0,1.4,1200
2.2,1017.4,-6.4,0,1.6,1300
2.2,1017.8,-6.7,0,0.8,1300
0.8,1018.2,-5.2,0,0.9,1500
-0.1,1019.2,-3.7,0,0.8,1900
-1.3,1020.2,-3.7,0,0.6,2100
-2,1020.7,-3,0,0.7,2100
-2.7,1021.4,-3.5,0,0.2,2400
-3.2,1021.8,-3.9,0,0.4,2800
-3.5,1022.1,-4.2,0,0.1,3000
-3.8,1022.4,-4.1,0,0.2,3500
-4.4,1023,-4.5,0,0.9,3400
-4.3,1023.6,-4.7,0,0.5,3700
0.1,1024.3,-9.4,0,2.9,2900
0.2,1024.5,-11.2,0,3,500
-0.8,1024.8,-12.4,0,2.1,300
-1.4,1025.3,-13,0,3.2,300
-1.7,1026.1,-13.3,0,4,300
-2.1,1027,-13.6,0,2.1,400
-2.1,1027.6,-14.5,0,3.2,300
-1.3,1027.9,-15.2,0,3.7,300
-0.2,1027.5,-15.3,0,3.5,300
0.5,1026.5,-15.5,0,3.6,300
0.3,1025.7,-15.7,0,4.1,400
1,1025,-16,0,3.3,400
1.3,1024.9,-16.1,0,1.8,400
1.4,1024.7,-16.5,0,2.2,300
0.8,1024.9,-17.5,0,3,400
0.7,1025.6,-17.6,0,3.1,400
-0.2,1026.1,-17.4,0,2.9,400
-1.1,1026.6,-18.2,0,1.7,300
-2.1,1026.8,-19.1,0,1.6,300
-2.8,1027.6,-19.2,0,2.4,400
-3.5,1027.5,-19,0,2,400
-3.9,1027.7,-19.4,0,2,300
-3.8,1027.4,-19.7,0,3,400
-4.3,1027.5,-20.1,0,4.4,200
-4.9,1027.6,-19.8,0,2.7,200
-4.9,1027.1,-20.2,0,3.7,200
-5.8,1027,-20.6,0,2.3,200
-6,1027.2,-20.4,0,3.5,300
-5.9,1027.3,-20.7,0,3.9,300
-6.7,1027.6,-20.7,0,2.2,400
-5.2,1028.1,-20.1,0,2.5,400
-3.6,1027.8,-20.4,0,2.2,500
-2.1,1027.4,-20,0,2.2,500
-1.1,1026.1,-19.7,0,2.4,400
0,1024.8,-19.8,0,1.5,500
0.3,1024,-19.5,0,1.9,500
1.4,1023.6,-19.2,0,1.8,600
1,1023.5,-17.9,0,1.1,900
-0.5,1023.6,-16.4,0,2.2,1000
-1.4,1024.1,-15.3,0,2,1000
-2.1,1024.6,-14.9,0,2.3,1100
-1.9,1025.2,-14.7,0,2.4,1200
-2.7,1025.4,-14.5,0,1.3,1400
-5.2,1025.8,-13.5,0,0.8,1700
-6.4,1025.9,-12.7,0,0.7,1700
-6.5,1025.8,-13.2,0,1.7,1500
-6.2,1025.6,-13.1,0,1.1,2500
-5.5,1025.8,-15.6,0,0.9,1600
-6.2,1025.7,-15.2,0,0.2,700
-7,1025.6,-15.2,0,0.5,800
-7.9,1025.7,-15.4,0,0.5,900
-8.1,1026,-15.6,0,0.3,900
-8.6,1026.6,-15.6,0,0.9,800
-8,1027.3,-15.5,0,1,1000
-3.7,1028,-14.8,0,1.4,1000
-1.3,1028.1,-15.2,0,2.3,1000
0.6,1028,-16.7,0,2.8,700
1.6,1026.7,-17.9,0,4.2,400
2.1,1025.7,-18.6,0,4,400
2.3,1025,-18.4,0,4.3,400
2.7,1025.2,-18.1,0,4.7,300
2.3,1025.6,-17.8,0,4.4,300
1,1026.3,-18.4,0,4.7,300
0.3,1027.2,-17.5,0,4.2,300
-0.2,1028.1,-17,0,2.6,400
-1.3,1028.4,-17.5,0,3.3,400
-2.4,1029,-18.1,0,4.1,300
-2.9,1029.4,-18.5,0,3.7,300
-3.6,1030.6,-18.7,0,2.3,300
-4.3,1030.9,-18.2,0,3.6,300
-4.5,1031.1,-17.7,0,2.5,400
-4.5,1031.1,-17.7,0,3,300
-5.1,1031,-17.6,0,3,300
-5.3,1030.7,-17.4,0,3.3,300
-5.8,1030.2,-18.2,0,3.1,300
-6.1,1029.9,-18.5,0,2.5,400
-5.8,1030,-18.5,0,3.6,400
-6,1030.3,-18.4,0,3.7,400
-5.2,1030.2,-18.3,0,3.8,400
-4.1,1029.8,-17.7,0,4.1,400
-2.8,1028.9,-17.6,0,3.5,400
-1.6,1027.5,-17.4,0,4.1,300
-0.8,1026.2,-17.5,0,3.5,300
0.1,1025.2,-17.6,0,4.2,400
0.5,1024.6,-17.8,0,3.9,300
0.6,1024.6,-17.7,0,3.5,300
-0.7,1024.6,-17.9,0,4.1,300
-0.9,1024.5,-17.2,0,4.4,400
-1.6,1024.5,-17,0,3.2,500
-1.9,1024.6,-16.4,0,2.7,500
-2.7,1024.4,-16.8,0,1.9,500
-2.8,1024.4,-16.9,0,3.2,600
-3.2,1024.5,-16.5,0,2.4,500
-3.5,1024.1,-17.1,0,2,500
-3.1,1023.7,-16.8,0,1.9,500
-3.3,1024,-16.6,0,3.6,500
-3.5,1023.8,-16.8,0,2.2,400
-3.3,1023.5,-17,0,2.6,400
-3.8,1023.6,-17.8,0,3,400
-4.5,1023.9,-17.7,0,3.1,400
-7,1024.6,-17.8,0,1.9,400
-7.7,1025.3,-17.6,0,1.1,600
-6,1026,-17.7,0,2.2,700
-4,1026.1,-17.6,0,2.5,700
-2,1025.5,-17.3,0,3,600
-0.9,1024.8,-17.6,0,2.7,600
-0.2,1023.7,-17.4,0,2.8,500
1.2,1022.8,-17.7,0,2.4,500
1,1022.6,-17.9,0,1.8,400
1,1022.6,-18.4,0,1.4,400
-0.7,1022.5,-17,0,1.4,500
-3.1,1022.8,-15.8,0,0.7,500
-4.1,1022.9,-14,0,0.9,1300
-3.1,1022.8,-14.8,0,1.6,1500
-2,1022.6,-14.8,0,2,1800
-4.2,1022.4,-12.4,0,1.2,1900
-4.7,1022.4,-12.8,0,1.1,1900
-5.6,1022.3,-13,0,0.4,1900
-6.2,1022,-12.1,0,0.4,1800
-5.6,1022.3,-12.8,0,1.6,1500
-6.5,1022.2,-13.2,0,0.7,2200
-8.1,1021.8,-13.3,0,0.9,2600
-9,1021.5,-14.8,0,0.6,2500
-8.9,1021.3,-15.1,0,0.8,2500
-7.8,1021.4,-16.2,0,0.9,1600
-9.3,1021.6,-16.3,0,0.6,1100
-6.1,1022.2,-16.1,0,1.3,1000
-4,1022.3,-15.3,0,2,800
-1.5,1021.8,-15,0,0.7,900
1.1,1020.7,-14.2,0,0.7,1000
2.3,1019.6,-14.4,0,0.8,1000
3.6,1019,-15.1,0,0.7,1000
4.6,1019,-14.8,0,1.2,800
4,1019.1,-15.9,0,1.5,900
2.6,1019.5,-15.5,0,1.1,1000
0.7,1019.8,-13,0,1.3,1300
0,1020.2,-13.7,0,1.8,1800
0.6,1020.8,-13.9,0,1.8,1700
-3.6,1021.1,-12.3,0,0.7,2200
-4.6,1021.4,-11.6,0,0.9,2700
-4.6,1021.8,-11.8,0,0.5,3200
-4.1,1021.9,-13.2,0,1.1,3800
-5.4,1022.2,-12,0,0.7,2500
-5.8,1022.8,-12.3,0,1,1900
-3.6,1023.1,-14.4,0,1.5,1400
-4.4,1023,-14.6,0,0.6,1300
-5.2,1023.4,-15.9,0,1.2,1000
-7.1,1024,-15.1,0,1,800
-8,1025.1,-14.8,0,1.2,1000
-7.4,1025.9,-15.1,0,1.3,900
-4.1,1026.9,-13.8,0,1.4,1100
-1.9,1027.6,-16.1,0,2,900
-0.9,1027.5,-16.3,0,1.7,800
0,1026.7,-16.8,0,1.8,1500
0,1026,-16.4,0,1.7,2100
0.4,1025.6,-16.5,0,2.1,1900
0.2,1025.8,-15.8,0,1.5,1600
-0.4,1026.4,-15.9,0,1.5,1800
-0.9,1027.5,-15.9,0,1.6,1800
-0.8,1028.3,-15.5,0,1,1700
-3.3,1029,-14.7,0,1.3,1800
-4.7,1030,-15.1,0,0.1,2200
-3,1030.8,-15,0,2.2,2200
-3.5,1031.4,-20.3,0,2.4,800
-4.7,1031.7,-20.5,0,1.9,400
-7.1,1032.1,-22.2,0,1.8,400
-5.2,1032.4,-19.4,0,2.1,500
-5.8,1032.9,-18.8,0,1.9,400
-5.6,1032.8,-18.7,0,2.2,400
-6,1032.3,-19.4,0,4.2,300
-7.8,1032.6,-20.3,0,3.4,400
-8.5,1032.8,-21.6,0,4,400
-8.4,1033.3,-20.5,0,2,400
-9.4,1033.2,-21.4,0,2.2,400
-8.5,1034.1,-20.9,0,2.5,500
-7.7,1034,-21.9,0,3.6,400
-6.5,1033.6,-21.6,0,3,400
-5.2,1032.7,-21.8,0,4.2,300
-4.7,1031.4,-21.8,0,3.4,300
-3.8,1030.5,-22,0,2.2,300
-4.3,1030.3,-22.9,0,3.1,300
-5.1,1030,-23.6,0,2.6,300
-3.6,1030.1,-22.8,0,2.1,300
-3.4,1030.4,-22.7,0,2.9,400
-3.9,1031,-22.6,0,3.5,400
-4.7,1031.2,-23.2,0,3.4,400
-5.2,1032,-23.2,0,2.8,400
-5.7,1032.3,-23.6,0,3.5,400
-6.4,1032.4,-23.7,0,2.8,400
-7.3,1032.3,-23.2,0,2.1,400
-6.9,1032.3,-22,0,3.3,400
-7.3,1032.3,-22,0,3,400
-7.7,1032,-21.9,0,2.4,400
-7.6,1031.5,-22.6,0,3.1,400
-9.7,1031.5,-23,0,1.8,400
-11,1031.1,-22.9,0,1.8,400
-11.3,1031,-22.8,0,1.2,500
-11.1,1030.9,-23,0,2.3,900
-8.7,1031.1,-22.8,0,2,900
-7.2,1030.7,-22.7,0,2.6,800
-4.8,1029.9,-23.3,0,3.6,500
-3.7,1028.6,-23.5,0,3.9,400
-1.9,1026.9,-23.1,0,2.9,400
-1.6,1024.8,-24.2,0,3.5,400
-2.5,1024.9,-24.3,0,4.1,400
-2.8,1024.9,-23.9,0,3.2,400
-3.3,1024.9,-23.1,0,2.5,500
-3.8,1024.7,-22,0,1.9,500
-4.2,1024.7,-21.8,0,1.6,700
-4.8,1024.4,-21.9,0,2.2,700
-4.7,1024.2,-22.2,0,2.1,600
-6.5,1023.9,-21.6,0,1.2,600
-4.4,1023.4,-23,0,2.7,600
-5,1023,-22.5,0,2.2,500
-4.3,1022.5,-24,0,2,400
-4.3,1022,-24,0,1.1,400
-5.4,1021.6,-24.3,0,1.5,400
-5.9,1021.3,-24.3,0,1.5,500
-5.8,1021.1,-24.2,0,1.5,600
-6.3,1021.4,-23.6,0,1.4,700
-4.7,1022.1,-24.9,0,1,1100
-3.9,1022.1,-24.8,0,1.4,800
-2.6,1021.3,-23.7,0,1.8,700
-1.8,1020.3,-23.1,0,1.1,800
0.9,1018.9,-26.4,0,4.7,500
1.1,1017.8,-26.2,0,6.7,400
1.8,1017.7,-25.6,0,3.5,500
2.1,1017.5,-25.4,0,2.4,500
1.3,1017.6,-24.2,0,3.8,500
0.9,1018,-22.9,0,2.6,800
0.7,1018.1,-22.3,0,2.5,900
-2.1,1018.6,-21.6,0,1.4,1000
-3,1018.8,-21.3,0,1.1,1100
-4.7,1019,-18.6,0,0.9,1300
-5.7,1018.9,-18.8,0,0.3,1400
-6.9,1018.6,-18.9,0,0.6,1100
-6.3,1018.5,-17.1,0,0.7,1100
-5.4,1018.6,-17.5,0,0.7,1500
-5,1018.3,-17.5,0,0.9,1600
-5.6,1017.8,-17.4,0,0.7,1700
-5.2,1017.5,-18.6,0,1.9,1200
-6.4,1017.5,-17.8,0,0.9,1000
-7.6,1017.7,-18,0,0.9,1300
-7.9,1017.9,-17.3,0,1.3,1900
-5,1018,-15.1,0,0.7,3300
-1.6,1018,-15.8,0,1.1,4300
1,1017.5,-16,0,0.8,4400
3,1016.1,-21.2,0,2.5,1500
3.1,1015.1,-21.9,0,2.6,1300
3.4,1014.4,-21.7,0,1.2,1300
4.7,1014.3,-21.5,0,0.8,900
4.5,1014.4,-20,0,1,700
2.7,1014.5,-20,0,1.1,600
-0.7,1014.9,-18.3,0,0.5,1700
-0.6,1015.1,-18.7,0,1.7,1900
-1.2,1015.1,-17.9,0,1.9,1900
-1.1,1015,-17.8,0,1.9,1600
-0.4,1014.9,-18.6,0,2,1800
-3.9,1015.1,-16.5,0,1.2,2300
-5.3,1014.9,-15.7,0,0.7,2500
-5,1014.6,-14.1,0,0.8,3700
-5,1014.5,-15.1,0,0.9,4700
-5.8,1014.5,-14.6,0,1,4800
-6.7,1014,-13.4,0,0.6,5100
-7.9,1013.7,-14.1,0,0.2,4400
-8.1,1013.8,-14.9,0,1.1,4700
-8.1,1013.9,-15.3,0,1.1,7000
-8.5,1014.6,-15.1,0,1,5600
-4.6,1015.1,-14.5,0,1.4,5100
-2.8,1015.4,-14.9,0,1.3,3400
-0.4,1015.1,-15.5,0,1.6,1900
1.3,1013.9,-15.7,0,1.2,1600
2.3,1012.7,-16.2,0,1.8,1400
3.6,1012.2,-17.3,0,1.5,1600
3.2,1012,-17.7,0,2.3,1600
2.7,1012.3,-18.1,0,1.7,1300
2.2,1012.8,-17.4,0,1.4,1400
0.9,1012.7,-16.5,0,0.7,1500
0.1,1013.6,-15.1,0,0.2,1700
-1.5,1014.2,-14.3,0,0.4,1700
-1.7,1014.7,-14.8,0,1.1,2200
-0.2,1015.4,-9.6,0,1.4,2900
-1.1,1016,-6.9,0,2.4,3000
-1.9,1016.2,-5.4,0,2.1,2700
-2.3,1016.3,-5.3,0,2.6,2700
-2.6,1016.8,-6.8,0,2.2,2800
-2.9,1017.3,-9.2,0,1.2,3300
-3.2,1017.3,-10.3,0,0.5,3100
-3.4,1017.6,-11.6,0,0.4,2800
-3.1,1017.8,-12.3,0,0.7,2600
-3.3,1018.4,-12.8,0,1,2600
-3.4,1019,-12.9,0,0.8,2600
-3.4,1019.9,-13.4,0,1.1,2700
-3.1,1020,-13.4,0,1.4,2600
-2.8,1020.3,-13.7,0,1.2,2600
-2.3,1019.6,-13.8,0,1.3,2500
-2.3,1018.7,-13.2,0,1.9,2000
-1.8,1018.5,-12.5,0,1.3,2100
-2.2,1018.4,-12.3,0,1.5,2000
-2.6,1018.5,-12.4,0,2,2100
-2.8,1018.8,-11.1,0,1.3,2500
-3,1019,-9.9,0,1.2,2300
-2.9,1019,-9.8,0,2.2,2100
-2.7,1019.4,-9.6,0,1.1,2100
-2.7,1019.6,-8.2,0,1.9,1800
-2.7,1020.6,-8.6,0,0.8,1600
-2.5,1020.7,-6.7,0,1.3,1700
-3.8,1020.9,-5.6,0.2,1.6,2000
-4.4,1021.5,-6.7,0.2,1.9,2800
-4.8,1021.8,-7.6,0,1.9,1600
-5,1021.8,-8.2,0,1.6,900
-6.1,1021.7,-8.5,0.1,0.7,1100
-5.2,1021.7,-15.3,0,3.6,700
-6.9,1022.4,-18.3,0,2.3,400
-7.2,1023.2,-19.4,0,4.2,300
-8.3,1024.3,-20.1,0,3.3,500
-8,1024.9,-20.2,0,2.9,400
-7,1025.4,-19.9,0,3.1,400
-6.3,1025,-20.7,0,3.8,400
-5.7,1024.2,-20.6,0,3.8,400
-5.7,1022.8,-21.8,0,4,400
-4.8,1021.8,-21.9,0,5.3,400
-4.4,1021.3,-20.6,0,3.2,400
-4.5,1021.4,-21.6,0,3.2,400
-5.4,1021.3,-22.4,0,3.2,300
-5.7,1021.9,-22.2,0,2.7,400
-5.9,1021.9,-21.5,0,2.1,400
-6.6,1022,-21.7,0,2.2,400
-7.8,1022,-20.6,0,0.7,500
-6.7,1021.7,-21.1,0,2.6,600
-6.7,1021.8,-20.7,0,2.9,500
-6.8,1021.3,-21.9,0,3.5,400
-6.9,1021.5,-24.6,0,5,200
-8.2,1022.1,-25.7,0,6.4,200
-9.4,1022.8,-26.7,0,4.5,200
-10.4,1022.8,-27.1,0,4.2,300
-11.5,1023.2,-28.1,0,4.9,300
-12,1023.5,-27.7,0,2.9,300
-12.2,1023.5,-28.3,0,3.2,300
-12.5,1023.9,-28.5,0,3.1,400
-11.5,1024.5,-28.1,0,3.2,400
-10.1,1024.6,-28.3,0,4,400
-8.8,1024.1,-27.8,0,4.4,400
-8.5,1023.6,-28.1,0,6.8,300
-7.7,1023.1,-27.4,0,4.6,300
-7.1,1022.5,-26.3,0,5,300
-6.6,1022.4,-25.4,0,3.7,400
-6.1,1022.7,-24.4,0,4.6,400
-6.5,1023,-24.3,0,5,300
-7.8,1023.6,-24.5,0,2.2,400
-8.7,1024.4,-24.4,0,2,400
-9.1,1024.8,-23.9,0,1.3,500
-9.7,1025.5,-24.1,0,0.8,400
-11.2,1025.7,-22.7,0,0.8,600
-11.3,1025.8,-23.1,0,1.4,800
-12.5,1025.8,-22.8,0,1.1,900
-12,1025.6,-22.9,0,0.9,1100
-12.3,1026.1,-22.6,0,0.9,800
-13.4,1026.4,-21.6,0,1.2,700
-12.9,1025.9,-20.3,0,1,900
-14.4,1025.8,-21.1,0,1,1200
-14.4,1026.4,-22.3,0,1.1,1100
-15.1,1026.9,-21.7,0,1.4,1300
-15.2,1027.5,-22.2,0,0.7,1600
-10.9,1027.8,-22.5,0,1.5,2000
-8.5,1028.2,-21.6,0,1.4,2000
-5.6,1028.2,-20.9,0,0.7,1900
-4.7,1027.4,-22.2,0,2.5,1900
-3.4,1026.1,-22.7,0,1.9,1700
-2.2,1025.6,-22.2,0,1.7,2000
-1.5,1025.5,-22.2,0,1.9,1300
-1.8,1025.8,-22.4,0,2.3,1300
-2.9,1026.2,-23.4,0,2.1,1100
-3.4,1027.1,-22.1,0,2.4,1300
-3.6,1027.7,-21.8,0,2.5,1300
-5.4,1028.5,-20.7,0,0.9,1400
-7.2,1028.9,-18.5,0,0.8,1900
-8.1,1029.9,-18.5,0,0.9,2500
-9.4,1030.2,-17.9,0,1.1,3200
-9.6,1030.7,-17.6,0,1,3800
-8.9,1030.8,-17.5,0,0.9,4500
-8.6,1031,-17.2,0,1.2,4500
-8.5,1031.3,-16.8,0,1.1,4400
-8.4,1031.6,-16.8,0,1,3700
-8.9,1031.2,-18.4,0,2.1,3300
-9.1,1031.3,-17.2,0,1.6,3700
-9.2,1031.7,-17,0,1.1,4600
-9.1,1032.5,-17.6,0,0.7,5000
-8.4,1032.9,-17,0,1.7,4800
-7.3,1033,-16,0,2.2,4900
-6.5,1032.7,-15.5,0,2.3,4900
-5.7,1031.9,-15,0,1.7,4500
-4.5,1029.7,-14.9,0,2.1,4400
-4,1029.1,-15.9,0,2.3,3700
-3.9,1029.2,-15.9,0,1.7,3400
-4.1,1029.1,-16.3,0,1.9,3100
-4.6,1028.8,-16.2,0,1.5,3100
-5.2,1029.3,-15,0,1.3,3500
-6,1029.4,-14.8,0,1.1,3800
-6.5,1029.6,-14.5,0,1.2,4000
-6.8,1029.7,-14.3,0,1.2,4300
-7.3,1030,-14.2,0,0.8,4000
-7.2,1030.1,-12.9,0,1.5,3700
-7.4,1030.2,-11.2,0,1.3,3400
-7,1030,-9.9,0,1.3,2900
-6.9,1029.6,-9.6,0,1.7,2500
-6.9,1029.7,-9.5,0,1.7,2700
-6.8,1029.3,-9.2,0,1.1,2600
-6.9,1029.2,-9.6,0,0.6,2300
-6.8,1028.7,-9.5,0,1.1,2300
-6.9,1029.3,-9,0,0.9,2400
-6.5,1029.9,-8.8,0,0.7,2500
-6.1,1030.2,-8.5,0,1.6,2700
-5.9,1030.3,-8.6,0,2,2800
-5.6,1030,-9,0,1.6,3000
-4.9,1029.5,-9,0,1.3,2800
-4.4,1028.6,-9.2,0,2.4,2700
-3.8,1027.7,-9.6,0,2.4,2500
-3.7,1027.8,-9.9,0,2.2,2200
-3.7,1027.8,-9.7,0,1.8,2100
-4.4,1028.4,-9.6,0,1.4,2200
-5.3,1029,-9.6,0,1,2400
-6,1029.8,-9.4,0,1.2,2700
-6.2,1031,-9.2,0,1.2,3100
-6.7,1032,-9.1,0,1.3,3400
-6.6,1032.7,-9,0,1.1,3700
-6.8,1033.3,-9.4,0,0.9,3500
-6.7,1033.4,-9.3,0,1.6,2500
-6,1034.2,-12.1,0,1.7,2400
-6.4,1034.9,-22,0,3.7,400
-7.1,1035.1,-22.6,0,4.3,400
-7.6,1035.6,-23.8,0,3.8,400
-8.7,1036.1,-24.4,0,3.2,400
-9.7,1036.7,-26.5,0,4.1,300
-10.3,1037.8,-27.5,0,2.5,400
-11.2,1039,-28.3,0,4.1,400
-11.1,1040.1,-28.7,0,4.7,400
-11.4,1040.3,-30,0,5.6,300
-11.5,1040.9,-31.2,0,4.9,300
-10.9,1039.8,-31.3,0,5.7,300
-10.5,1039,-30.9,0,4.7,300
-10,1038.2,-31.1,0,5.9,300
-10.2,1038.3,-31.3,0,5.9,300
-10.1,1038.8,-31.2,0,4.5,300
-11.1,1039.5,-31.4,0,5.1,300
-11.3,1040.4,-31,0,5.7,300
-11.7,1041.2,-31.3,0,4.1,400
-12.6,1041.8,-30.5,0,2.8,400
-12.6,1042,-31,0,2.7,400
-13.1,1041.6,-30.9,0,1.7,400
-14,1041.2,-29.8,0,1.9,400
-14.4,1040.8,-29,0,1.7,700
-13.8,1040,-28.4,0,1.3,900
-14.2,1039.4,-28,0,2.2,800
-14.1,1039,-27.9,0,1.6,800
-14,1038.5,-29.4,0,1.4,500
-14.8,1038.5,-32.3,0,4.1,400
-15.6,1038.6,-33.5,0,4,300
-16.3,1039.5,-34.1,0,2.9,300
-16.8,1040.2,-34.5,0,4.8,300
-16.8,1040.8,-35.1,0,4.8,300
-15.9,1041,-34.8,0,4.7,300
-15.3,1041.1,-34.3,0,4.3,300
-15.4,1040.2,-35,0,7.5,300
-15,1039,-35.3,0,5.7,300
-13.8,1038.7,-34.3,0,4.8,300
-13.8,1038.9,-33.7,0,4.4,300
-14.4,1039.4,-34.2,0,5.4,300
-15.3,1039.7,-33.8,0,4.8,300
-15.8,1040.4,-33.2,0,4.4,300
-15.9,1041.1,-32.3,0,3.7,300
-16.2,1041,-32.1,0,3.2,300
-16.1,1041.4,-32.1,0,4.4,300
-15.9,1040.8,-31.9,0,3.8,300
-16,1040.7,-32.4,0,4,300
-15.8,1040.2,-31.8,0,4.2,300
-14.8,1039.7,-30.5,0,4.5,300
-14.5,1039.1,-29.8,0,4.2,300
-14.4,1038.8,-29.7,0,4.4,300
-14,1038.2,-29.4,0,3.5,300
-14.2,1038,-29.6,0,4.4,300
-14.3,1038.1,-30.1,0,4.4,300
-14.1,1037.7,-29.5,0,4.4,300
-14,1037.2,-29,0,3.4,300
-12.1,1036.9,-28.6,0,3.4,400
-11,1037,-29.1,0,3.6,400
-9.5,1036.7,-28.4,0,4.4,400
-8.3,1035.7,-27.9,0,4.9,400
-7.1,1034.6,-28.1,0,3.6,400
-5.8,1033.6,-27,0,4.9,300
-5.5,1033,-26.1,0,4.4,400
-5.4,1032.3,-25.5,0,4.1,400
-4.7,1032.2,-24.9,0,4.5,400
-4.8,1031.9,-24.4,0,2.5,500
-4.9,1031.5,-23.9,0,1.4,600
-4.8,1031.4,-23.8,0,2,800
-5.7,1031.5,-23.6,0,1.4,900
-6.2,1031.5,-22.6,0,1.3,900
-4.5,1031.1,-24.1,0,3.6,700
-4.9,1030.9,-23.9,0,2,500
-4.4,1030.2,-23,0,3.2,500
-4.4,1029.7,-23.5,0,3.1,500
-4.5,1029.3,-23.1,0,3.4,400
-4.7,1028.6,-23.2,0,2.9,400
-5,1028.1,-24,0,2.8,400
-5.1,1027.7,-24.6,0,2.6,400
-5.3,1028,-24.8,0,1.8,500
-5,1028.2,-25.1,0,2.7,600
-3.6,1028.3,-24.6,0,2.1,700
-2.6,1027.7,-25,0,2.7,600
-0.9,1027.4,-25.1,0,3.1,500
0.4,1026.2,-24.9,0,3.2,500
0.9,1025,-25.4,0,3.2,400
1.9,1023.9,-24.6,0,2.9,400
2.2,1023.1,-25.3,0,2.9,400
2.3,1022.8,-25.3,0,2.2,400
1,1022.9,-24.4,0,3.2,500
-0.1,1022.9,-23,0,1.8,700
-0.5,1023.1,-22.6,0,2.1,900
-1,1023.3,-22.4,0,1.6,1100
-1.9,1023.5,-21.4,0,1.5,1300
-5.1,1023.6,-19.6,0,0.3,1100
-6.3,1023.6,-20,0,0.8,1100
-1.1,1023.9,-21.9,0,3.2,1000
-1.1,1023.5,-21.9,0,3.2,600
-1.4,1023.4,-22.1,0,3.6,500
-1.9,1023.7,-22.5,0,3.5,400
-2.4,1023.6,-22.9,0,3.7,400
-3.7,1023.5,-23.5,0,1.9,400
-3.9,1023.5,-23.6,0,2.9,300
-4.3,1024.2,-24,0,3.9,400
-4.5,1024.7,-23.6,0,3.9,500
-3.6,1025.8,-22.8,0,2.2,500
-2.5,1026.2,-23,0,2.6,500
-1.1,1025.8,-23.1,0,3.3,500
-0.5,1025,-23.3,0,5.1,400
0,1024.3,-22.9,0,4.1,400
0.8,1023.2,-22.2,0,4.1,500
1.1,1022.7,-22.7,0,3.5,500
1.4,1022.7,-22.5,0,2.6,500
0.7,1023,-21.6,0,2.8,500
0.2,1023.3,-21.4,0,1.9,600
-0.2,1023.8,-20.5,0,1.7,800
-2.3,1024.2,-19.7,0,0.6,1100
