"PM2.5","PM10","SO2","NO2","O3"
13,13,6,22,56
11,11,7,24,53
12,16,6,28,47
13,26,8,30,44
11,20,7,26,44
9,18,5,27,45
6,22,6,25,50
9,10,8,34,42
10,12,9,39,39
8,16,9,37,41
8,19,8,25,54
10,13,6,17,62
5,16,5,15,66
10,11,5,15,66
10,10,4,16,66
11,13,3,17,66
12,15,4,21,62
11,14,4,27,57
5,15,4,31,52
8,17,5,42,42
10,18,6,38,45
13,26,7,35,46
13,21,8,36,43
13,16,9,38,41
12,17,9,34,45
10,16,8,33,44
12,17,8,31,46
14,14,7,30,48
11,11,7,27,50
12,12,6,26,51
9,9,6,27,50
11,13,8,40,39
15,21,12,70,12
19,30,14,61,22
23,30,12,46,37
15,23,8,27,54
10,22,6,18,63
7,18,4,16,66
10,10,3,23,61
9,14,3,27,58
10,12,3,32,53
13,13,5,45,40
17,17,6,52,33
17,18,8,56,27
18,18,10,55,28
18,18,9,52,30
16,22,9,56,26
11,26,6,45,36
11,13,8,36,42
10,10,6,33,46
7,7,6,30,42
9,9,7,32,43
8,10,8,44,34
12,16,9,47,33
17,25,11,70,13
18,46,15,76,11
23,41,14,53,30
24,36,13,40,45
28,41,13,49,39
13,30,10,29,57
11,43,10,23,64
10,52,11,26,62
19,40,10,28,60
20,41,12,38,48
28,46,14,69,21
31,46,15,82,11
25,44,15,84,8
37,51,24,93,5
35,45,25,96,5
37,42,27,99,6
35,40,20,96,6
33,49,16,95,5
35,55,16,96,5
36,61,18,94,5
41,64,23,93,5
31,46,15,76,11
22,33,11,75,9
26,42,15,82,5
37,65,19,90,5
62,124,29,107,8
107,166,47,124,10
135,188,54,129,12
91,93,24,62,44
87,87,22,56,53
87,87,24,56,55
59,59,17,43,59
31,33,13,37,59
27,30,12,40,51
78,90,26,109,7
88,107,34,111,7
95,108,32,109,7
95,97,39,101,10
111,111,41,109,7
119,124,39,115,6
128,128,39,118,6
136,146,40,122,7
160,183,63,131,9
174,188,55,133,9
171,182,59,138,17
141,141,50,112,15
129,137,42,115,15
195,198,64,130,21
171,171,65,115,19
140,143,55,108,17
101,125,36,91,14
64,81,29,74,19
66,82,26,68,29
61,79,20,71,38
83,96,23,86,38
86,96,29,85,38
82,87,26,77,41
90,100,28,84,36
86,95,30,92,27
95,112,37,107,15
101,113,38,108,14
108,122,43,109,14
176,196,77,118,16
225,264,52,111,11
209,209,31,93,10
150,150,25,78,7
126,126,27,76,7
112,112,59,80,8
96,101,71,79,9
87,93,68,78,9
79,90,64,77,11
84,98,64,79,11
85,103,64,79,10
93,108,62,79,12
95,117,64,77,14
106,125,64,75,17
105,118,64,71,22
93,99,53,59,31
113,117,54,67,26
112,113,52,66,27
116,119,49,71,23
130,141,51,81,14
132,137,45,80,12
131,131,45,77,14
145,145,46,78,13
143,143,43,63,25
139,139,37,54,32
137,137,32,63,23
143,143,21,70,15
153,153,24,76,10
102,102,16,52,17
68,68,15,37,33
67,67,12,41,22
43,43,15,31,37
24,33,9,19,60
14,36,7,20,61
16,32,10,25,55
16,27,9,23,57
24,30,9,18,64
21,27,9,18,65
19,19,8,13,72
22,22,7,13,74
16,16,5,13,75
16,17,6,15,74
18,18,5,17,72
14,18,5,20,68
15,19,4,26,61
16,18,6,31,55
19,19,8,34,51
20,20,9,41,43
19,21,10,55,29
19,19,8,39,44
8,14,4,22,62
10,69,2,11,73
5,39,2,11,70
7,30,2,11,67
5,28,2,11,66
6,26,2,11,66
7,18,3,14,62
6,24,4,20,55
7,27,4,30,45
10,33,4,26,51
9,35,3,17,61
12,43,3,14,65
8,50,2,11,69
9,76,2,11,69
11,64,2,12,68
12,65,2,14,67
13,73,2,18,63
11,77,2,19,63
8,84,2,26,55
12,44,2,41,39
10,36,2,42,38
13,38,2,38,42
16,40,4,44,36
22,45,9,56,25
24,42,11,67,16
37,51,11,72,12
23,38,8,68,12
24,31,9,61,18
22,26,10,69,11
24,36,12,78,6
19,30,9,75,6
22,30,12,72,7
32,40,12,74,6
36,62,11,74,8
37,73,16,74,11
41,82,19,76,15
82,111,34,72,28
97,126,33,56,44
116,137,34,67,42
77,95,24,57,45
70,88,27,62,40
56,74,21,63,35
58,82,21,76,20
70,91,23,75,22
85,105,29,79,19
94,119,35,96,8
100,134,36,97,10
117,146,41,99,13
131,157,51,105,15
171,191,69,110,18
191,198,71,103,19
183,183,65,95,17
154,154,52,86,14
126,126,41,84,11
126,126,51,77,11
124,140,65,79,10
121,139,82,78,9
109,125,93,76,8
117,136,97,77,10
127,150,98,79,11
139,154,92,81,12
141,156,92,81,14
131,142,79,79,16
122,131,73,86,13
126,126,73,87,12
122,126,72,93,10
130,139,75,97,8
136,154,75,97,9
153,173,78,99,10
161,204,82,98,10
153,179,91,92,9
161,178,79,86,10
152,160,54,79,10
125,126,35,69,7
102,102,20,63,5
103,103,20,62,5
94,94,22,62,6
92,92,21,64,5
90,90,23,68,6
83,83,27,64,6
81,81,30,64,6
87,87,33,64,7
104,104,39,63,9
135,135,38,71,10
148,148,37,70,13
149,149,36,73,19
145,145,36,69,21
136,136,34,65,23
135,135,30,71,20
149,149,31,79,13
154,154,27,81,8
142,142,23,80,8
150,150,27,81,9
153,153,27,80,9
159,159,29,78,10
161,161,33,74,10
122,122,33,67,8
114,114,34,68,13
14,14,5,20,57
9,21,4,20,58
8,21,5,21,55
6,17,5,20,56
7,18,2,15,65
6,15,2,19,63
8,23,3,24,58
4,16,3,20,62
6,20,2,14,69
6,18,2,13,69
8,20,2,13,70
5,19,2,12,71
6,25,2,12,71
8,25,2,14,70
7,39,2,16,68
4,35,2,20,64
7,37,2,22,60
5,38,2,24,58
9,28,2,27,55
7,23,2,24,58
6,12,2,19,61
11,18,4,31,48
15,21,6,43,35
21,21,7,47,32
21,21,9,46,30
27,27,10,53,25
14,14,5,38,46
9,9,4,24,54
5,5,4,15,63
6,11,6,16,63
6,12,7,20,58
6,31,6,16,63
8,42,8,14,65
5,25,7,10,70
8,30,7,9,70
12,39,5,10,70
7,42,4,11,69
8,68,3,12,68
6,64,2,13,67
6,51,2,15,65
12,42,3,19,61
8,43,4,20,59
8,63,3,15,63
9,71,5,16,60
11,81,5,17,59
11,85,4,16,60
6,63,4,13,64
8,52,4,12,64
6,51,4,12,64
7,67,4,11,65
8,72,4,13,64
9,62,4,12,65
7,53,4,14,65
6,39,4,18,60
4,28,4,20,58
6,26,5,22,56
8,34,5,20,60
9,44,5,17,64
9,36,4,15,68
11,37,5,15,71
11,43,5,15,73
10,37,6,20,68
9,47,5,21,69
13,51,6,29,60
17,47,7,46,45
14,47,7,66,27
21,48,9,79,15
21,49,10,89,8
19,48,10,84,11
18,49,11,73,19
13,42,8,32,56
17,39,9,31,57
15,38,8,31,55
13,36,9,27,59
13,29,11,29,48
13,26,11,32,46
13,22,9,36,44
16,31,12,53,28
16,34,15,65,18
15,34,17,53,29
15,36,15,36,45
14,32,11,24,55
14,30,11,21,58
14,24,10,20,60
17,23,10,22,59
12,19,10,23,59
13,16,9,25,59
12,21,11,33,51
19,26,13,67,20
22,33,16,86,5
32,42,21,91,4
36,50,24,92,4
37,45,27,87,4
40,48,34,86,4
38,44,31,81,6
28,37,20,44,31
20,30,16,30,43
20,32,13,26,48
13,30,11,24,51
17,43,8,19,55
16,52,8,20,54
19,56,11,29,46
18,53,15,37,38
19,54,12,36,39
19,59,11,30,46
19,53,12,24,53
16,57,10,16,62
19,44,11,17,62
16,34,12,21,61
19,35,14,23,59
18,32,13,26,56
22,32,12,34,48
21,36,13,52,32
26,41,15,75,12
35,51,20,90,4
76,84,48,104,7
88,99,51,105,7
100,105,59,105,6
113,113,48,102,7
107,107,43,93,10
107,107,43,100,5
109,109,38,99,5
125,125,58,108,14
99,99,46,99,12
83,83,34,93,10
64,64,32,87,10
46,48,22,85,9
44,46,22,80,11
44,56,25,80,15
54,65,32,82,18
42,51,25,72,25
49,51,25,69,30
61,68,31,76,34
90,90,41,89,33
122,122,55,90,42
132,132,55,86,44
127,127,54,76,47
133,133,57,87,35
145,145,54,104,19
153,155,58,118,11
184,207,87,134,15
231,256,79,138,16
274,274,107,134,20
352,352,138,138,27
308,308,108,125,23
261,261,89,118,21
225,225,76,115,18
180,180,54,106,14
133,133,41,92,10
133,133,46,96,10
131,131,47,97,10
124,124,40,95,10
119,119,41,90,11
130,130,43,84,17
135,135,42,80,22
126,126,41,62,42
99,99,32,53,51
77,77,27,49,56
68,68,28,51,59
72,72,29,58,56
58,58,27,65,45
67,67,26,68,38
99,106,47,116,11
129,138,58,125,12
146,155,65,129,13
166,184,63,112,12
107,107,44,78,13
76,76,37,62,18
71,71,31,60,17
69,69,34,56,20
58,71,30,58,17
56,78,35,53,19
53,87,37,60,15
50,107,54,67,10
56,112,72,69,10
60,106,80,68,13
60,102,74,67,16
63,95,67,60,23
57,79,53,54,29
54,64,44,47,38
45,49,36,45,42
43,49,31,45,43
38,49,30,47,42
42,47,30,51,39
44,52,31,57,31
42,45,27,59,27
38,52,25,70,17
50,56,35,79,11
47,68,30,69,16
34,52,20,59,20
30,44,21,61,20
30,30,17,59,23
26,32,16,39,37
24,24,18,36,39
28,28,22,48,28
40,42,30,62,15
75,77,35,85,12
72,84,34,80,11
95,99,46,82,13
68,68,29,67,17
32,32,14,47,39
26,26,10,37,49
23,23,10,30,55
21,21,9,28,59
24,24,10,29,58
25,25,11,35,54
32,32,13,49,41
40,41,17,59,32
43,50,18,72,20
61,68,34,88,11
84,93,36,91,11
99,99,33,83,14
23,23,13,38,47
12,16,6,26,61
10,11,4,23,65
10,10,5,26,59
11,13,8,23,59
8,9,9,24,58
7,7,10,25,46
10,10,8,24,49
5,8,8,25,49
6,12,9,33,41
11,11,9,31,44
8,16,10,28,49
6,19,6,19,60
9,18,7,17,65
7,19,6,14,68
9,15,4,13,72
8,14,5,15,72
8,12,5,18,69
8,10,5,20,70
9,9,4,23,66
9,12,5,34,55
37,49,15,63,35
93,100,23,90,19
46,46,13,60,33
13,13,7,43,44
11,12,6,35,50
12,14,10,37,47
11,12,9,34,49
13,13,10,33,47
13,16,11,39,40
15,15,10,36,41
10,10,10,38,38
9,12,12,40,36
13,20,17,63,18
19,23,18,76,10
17,21,19,60,25
24,31,18,54,32
16,23,10,30,54
7,18,6,16,69
12,18,7,17,71
4,14,6,18,73
10,13,6,20,73
9,10,5,21,73
5,16,5,25,68
8,15,6,34,59
11,14,6,40,53
12,16,8,39,51
14,14,8,39,50
10,10,8,38,51
8,8,7,32,56
10,10,12,34,56
12,12,10,32,55
12,12,9,32,49
20,20,14,57,29
28,28,11,59,34
16,16,7,29,52
15,15,7,29,54
8,8,9,31,53
11,11,12,50,36
16,16,11,53,36
21,21,12,42,47
21,21,9,32,57
23,23,8,31,60
24,24,8,30,63
18,18,8,29,66
18,18,8,32,65
15,15,7,33,64
11,11,5,28,69
17,24,12,58,45
56,56,34,97,21
60,60,33,105,13
68,68,31,112,9
67,67,28,114,9
40,40,17,99,9
21,21,11,75,20
29,29,16,73,20
25,25,10,41,43
31,31,11,41,43
30,30,11,52,31
26,26,8,52,31
21,21,8,56,27
24,24,7,71,15
28,28,9,79,8
29,30,10,82,10
20,22,9,74,18
33,33,18,71,23
41,41,24,78,20
48,48,31,68,32
48,48,30,58,47
44,44,25,52,54
35,35,19,46,58
32,32,18,56,48
37,39,20,84,25
53,54,21,95,23
72,72,21,109,14
45,45,22,93,13
29,29,14,65,32
19,20,11,49,45
26,26,13,47,44
37,37,14,49,39
38,38,14,52,31
15,15,5,23,60
11,11,5,22,59
12,12,7,20,60
11,11,8,23,59
10,10,11,30,54
10,10,11,44,41
11,18,10,37,49
12,16,8,27,60
21,22,9,28,60
16,16,8,20,72
8,8,6,18,79
13,13,4,17,82
11,11,5,21,79
13,13,6,28,72
22,22,9,42,57
18,20,7,48,52
15,15,6,31,67
11,11,6,27,69
11,11,5,27,69
9,11,5,24,72
15,15,5,20,73
11,11,5,20,71
11,13,6,19,68
12,16,7,18,68
11,15,6,16,70
9,14,6,15,70
11,13,7,17,69
9,17,8,24,65
11,19,10,35,54
10,26,7,26,65
6,31,5,16,75
9,48,4,13,80
13,57,4,12,83
11,59,4,14,83
11,57,3,15,83
11,41,2,17,80
11,37,3,15,81
7,29,3,19,76
10,33,3,25,69
10,31,3,33,59
11,29,7,32,58
12,28,8,30,61
5,25,4,19,70
11,19,5,20,67
12,18,5,21,65
10,17,7,26,58
9,17,7,22,60
10,14,9,20,62
13,14,8,20,55
14,14,9,31,48
15,15,11,33,45
15,16,11,49,30
14,20,11,76,9
13,23,12,52,32
21,40,17,46,41
18,34,12,28,61
24,41,14,37,59
37,45,15,39,63
30,30,13,29,75
27,30,14,27,83
23,23,9,21,84
10,10,4,21,80
8,8,4,32,68
49,57,20,74,41
62,72,24,78,39
70,78,23,105,15
78,83,22,100,18
85,90,35,70,39
94,94,41,88,22
86,86,37,92,12
73,73,33,81,10
69,69,27,75,10
61,61,30,81,9
41,45,23,55,27
28,44,20,42,39
29,50,21,47,35
36,60,28,60,25
32,61,25,35,52
33,58,20,34,60
25,40,14,35,64
23,36,14,28,75
17,29,10,19,85
16,35,9,17,87
19,38,9,18,86
22,45,10,23,79
21,43,10,30,71
21,60,9,36,64
26,78,10,26,73
32,80,11,30,66
55,98,25,45,51
140,190,49,75,22
172,237,69,88,12
413,482,157,94,17
453,516,150,88,23
538,585,187,100,13
566,624,179,99,17
558,602,156,92,16
546,588,148,96,16
535,585,135,94,16
406,460,92,86,15
61,137,16,23,66
14,80,6,11,80
10,70,3,11,83
10,40,3,11,85
8,22,2,11,87
13,16,2,12,89
8,14,2,12,90
8,18,2,11,90
10,12,2,13,87
6,14,2,15,82
15,19,4,28,67
45,51,10,48,45
39,52,13,37,53
31,31,9,27,62
27,30,10,31,58
24,27,15,36,53
20,23,11,34,52
23,23,12,32,47
26,26,15,34,43
23,23,12,28,51
24,24,12,32,43
28,28,15,39,37
32,32,23,57,21
35,35,22,65,15
36,37,23,60,21
24,34,15,59,24
29,34,15,56,32
43,46,19,55,42
55,55,25,58,55
45,45,23,38,85
38,38,16,23,103
50,50,15,23,118
61,69,18,25,121
73,84,24,34,110
73,75,27,45,88
69,73,46,70,47
71,71,41,53,47
76,76,35,58,35
59,59,31,47,41
60,60,31,51,35
93,93,45,64,21
95,95,35,69,16
88,88,36,56,24
92,92,33,51,26
79,79,31,52,26
70,70,29,66,15
75,75,29,70,12
95,95,48,75,13
113,113,67,76,17
88,88,59,74,21
75,76,66,62,36
80,80,78,64,44
95,95,87,69,49
101,101,85,64,62
110,110,79,67,65
112,112,75,70,64
110,112,69,71,62
108,108,64,77,51
114,117,59,86,35
130,133,67,101,22
169,171,83,107,17
184,187,100,110,14
221,228,119,112,14
216,216,105,113,14
229,229,105,106,16
205,205,85,98,13
171,171,88,93,10
171,171,91,92,11
174,174,87,93,11
220,220,116,105,18
234,234,116,107,18
196,199,83,97,12
161,173,36,79,5
139,139,20,74,5
139,139,21,69,8
148,148,31,73,11
143,143,45,60,25
139,139,47,70,22
150,150,48,70,24
137,137,41,57,35
127,127,34,46,42
120,120,30,55,34
108,108,26,56,34
99,99,25,49,42
78,78,22,26,64
95,95,21,31,59
89,89,21,29,61
103,103,20,39,47
179,179,29,56,32
119,119,24,46,39
106,106,23,33,54
121,121,20,53,17
163,163,21,79,7
176,176,21,78,7
164,164,17,74,7
157,157,25,72,7
146,146,33,63,17
148,148,41,75,13
144,144,40,50,41
157,157,42,41,59
166,166,42,47,65
171,171,42,58,66
167,167,34,64,67
165,165,23,81,45
165,165,14,107,13
169,169,16,86,23
194,194,14,91,13
213,213,13,78,16
190,190,12,58,33
133,133,10,40,37
46,46,8,27,36
29,29,7,20,41
19,19,6,14,45
16,16,5,12,50
15,15,4,12,54
12,12,4,10,58
12,12,4,13,56
12,12,7,11,59
8,8,8,13,60
5,5,9,11,64
7,7,7,11,65
5,27,7,14,62
10,10,8,14,63
8,12,7,13,67
14,14,5,9,72
3,6,3,8,75
9,11,3,10,75
11,11,5,11,73
7,16,4,14,68
9,9,2,12,72
8,17,2,8,77
7,18,3,9,76
7,18,2,9,76
4,11,3,11,72
8,9,4,11,71
9,11,4,7,74
6,11,5,8,72
8,8,5,8,69
13,13,4,9,70
10,10,3,8,60
9,9,3,11,62
4,9,4,12,62
9,10,4,15,60
7,12,5,19,55
8,9,6,18,56
8,10,6,15,61
6,11,4,10,68
9,14,4,11,69
5,9,4,11,71
8,9,4,12,71
7,10,3,12,71
5,8,2,13,70
7,7,2,14,71
4,10,2,18,65
7,24,3,22,59
8,31,3,22,59
10,34,4,19,60
9,26,3,18,61
6,23,4,17,61
6,21,4,13,64
8,21,4,14,61
9,18,4,15,59
8,22,2,13,61
5,29,2,13,62
8,31,3,17,58
7,24,4,17,58
5,24,5,22,54
8,23,4,38,39
7,27,4,30,49
5,26,5,19,59
7,21,5,15,64
7,17,5,14,68
5,22,3,14,72
3,16,2,14,75
5,32,2,14,76
3,45,2,15,74
4,71,2,20,69
11,96,3,25,63
11,99,3,32,55
11,100,3,29,58
10,110,2,21,66
11,89,2,17,68
9,67,3,16,66
11,63,3,15,67
6,56,3,14,66
3,44,3,14,66
5,33,3,12,68
3,30,3,13,68
6,28,3,12,69
5,25,3,15,68
7,26,4,31,53
8,27,5,36,49
7,31,4,33,52
9,33,4,19,67
7,49,4,15,74
5,30,4,14,76
3,25,4,13,80
10,31,4,13,82
6,36,3,12,83
3,44,3,11,83
11,48,4,14,78
7,52,5,18,73
10,47,4,24,66
7,35,5,23,66
8,25,7,31,57
11,17,5,33,54
10,17,8,29,55
10,14,8,32,51
11,16,8,35,47
13,16,7,34,44
13,17,7,51,26
22,22,8,76,3
20,20,8,77,2
22,22,9,76,3
24,26,11,57,20
31,37,12,73,8
43,59,23,67,16
80,87,41,67,25
83,83,36,55,48
72,72,29,47,60
50,50,23,32,75
49,49,20,30,83
49,49,16,27,88
41,41,14,31,85
41,41,14,37,84
45,46,14,45,69
52,55,17,62,50
63,67,20,76,38
58,66,23,82,25
63,64,25,92,13
69,69,25,99,5
67,67,22,97,5
33,33,12,39,46
18,30,7,27,54
11,37,7,18,61
18,55,8,11,70
15,48,6,9,76
7,46,2,9,80
8,35,2,19,68
3,33,4,28,61
6,28,6,22,67
8,26,7,17,73
5,21,5,14,80
7,15,4,13,84
8,10,3,11,87
5,9,3,11,90
9,9,2,13,90
9,16,3,14,91
10,15,3,15,90
13,22,4,23,80
14,28,5,38,64
23,32,7,55,45
33,48,22,73,26
26,29,12,54,38
20,20,8,33,56
18,20,9,41,48
21,22,8,32,56
22,22,8,41,45
19,19,8,37,49
19,19,8,50,39
17,17,10,52,37
15,16,10,44,39
18,26,13,68,14
22,35,18,79,6
28,39,16,76,9
23,72,10,47,37
21,73,5,19,69
18,55,4,13,79
17,56,4,12,81
11,32,2,11,86
3,16,2,9,87
6,15,2,9,86
4,15,2,12,81
5,14,2,15,76
8,14,3,19,70
9,14,2,20,66
7,14,5,22,62
5,8,2,17,66
8,8,2,13,68
10,10,2,18,61
15,15,5,18,56
9,10,3,19,54
8,8,3,18,56
6,9,4,16,53
7,9,5,15,56
6,6,4,12,63
4,7,4,17,62
8,8,3,19,62
7,7,4,12,70
9,18,3,9,76
8,11,3,10,78
13,13,4,11,79
13,13,5,13,80
14,14,6,14,82
11,15,4,13,83
12,16,4,15,82
16,17,4,21,76
17,21,5,31,64
21,23,6,37,55
19,22,7,39,52
26,32,11,58,36
27,35,11,60,31
34,38,12,77,13
38,47,15,89,3
57,67,26,97,4
76,79,35,92,6
84,84,33,90,8
86,86,25,87,7
82,82,22,83,6
87,87,22,73,6
76,76,25,71,7
70,75,33,77,8
83,91,36,78,14
129,138,43,85,20
147,147,42,87,28
101,101,33,55,55
79,81,41,38,71
85,94,32,33,73
73,105,24,35,74
71,115,25,45,59
74,116,26,46,54
80,130,28,49,50
97,143,34,61,35
115,151,37,70,24
125,155,40,76,17
107,119,40,86,5
102,107,31,91,4
111,111,25,89,4
121,121,26,85,4
119,119,27,82,3
114,114,28,80,7
102,102,31,77,6
104,104,27,80,6
110,110,27,84,7
116,118,38,84,8
129,129,54,86,12
135,148,60,80,19
115,118,43,64,37
40,55,18,30,66
14,31,8,15,83
12,27,7,14,88
12,27,5,13,90
7,27,5,14,88
11,29,4,15,85
7,32,4,18,82
7,32,5,22,75
12,47,9,21,74
26,65,13,22,70
27,55,13,22,66
31,42,12,23,64
24,27,10,21,65
15,21,10,22,62
15,19,9,20,64
16,19,12,23,60
19,21,12,25,56
12,13,7,16,66
10,10,5,16,68
8,10,8,27,57
6,16,9,35,53
11,17,9,22,66
6,17,8,14,76
5,18,7,11,81
11,18,8,13,82
12,12,7,12,85
12,12,6,13,85
12,12,6,13,86
6,8,5,11,83
7,7,5,13,82
6,8,6,20,74
9,11,7,25,66
11,13,11,34,57
23,25,9,33,59
15,15,8,31,60
16,18,13,52,38
20,21,13,50,39
13,14,11,42,48
16,16,8,51,37
14,14,7,46,44
28,28,15,72,11
38,38,14,50,24
40,40,14,50,30
39,40,24,78,7
34,34,20,79,8
37,37,24,80,12
44,64,21,83,16
23,45,6,27,66
17,83,4,28,59
6,73,2,24,62
9,67,2,24,59
5,46,2,30,51
6,30,2,24,56
9,25,2,28,50
12,25,3,35,42
8,28,6,42,36
15,26,8,48,28
16,16,9,54,21
21,30,9,62,13
24,40,16,74,7
15,33,8,58,20
11,31,8,66,14
20,36,7,62,18
14,30,5,44,39
19,39,7,44,41
31,51,13,52,41
40,60,17,51,48
32,44,13,37,61
30,43,11,32,67
34,48,11,36,67
39,53,12,40,66
43,58,12,46,60
32,45,8,51,45
8,21,2,31,55
5,21,2,27,58
5,26,2,23,62
3,22,2,17,68
3,18,2,15,68
5,17,2,17,63
6,12,3,17,60
4,9,2,15,61
6,9,2,17,59
9,9,2,15,60
3,6,2,21,55
7,9,2,49,29
15,36,11,73,9
24,63,19,68,17
44,56,22,53,36
37,51,15,43,48
40,55,13,31,65
38,62,14,27,76
42,75,22,30,77
42,72,18,28,79
42,76,15,32,79
47,70,15,35,79
52,80,18,50,64
55,87,20,59,53
64,91,20,67,42
92,137,39,111,10
80,117,22,80,23
26,47,13,54,35
23,36,13,45,40
14,14,11,32,51
9,10,9,28,55
8,9,9,37,45
16,19,9,41,40
15,20,7,35,44
13,13,6,42,38
11,11,6,41,40
15,30,15,62,23
17,28,14,50,37
18,27,10,44,50
17,28,7,33,62
13,17,5,21,72
9,14,4,18,78
12,12,4,20,80
17,17,5,30,74
20,23,6,35,70
23,27,7,32,74
22,28,7,33,70
31,41,11,44,60
41,69,19,54,45
50,71,24,60,32
41,52,20,64,31
30,40,14,43,47
53,88,23,79,6
49,65,19,70,9
44,51,17,65,12
48,49,17,66,9
58,61,11,61,9
61,70,11,70,5
56,59,13,58,17
52,52,12,68,9
59,60,16,69,9
63,72,22,70,13
48,48,22,55,32
33,33,16,29,58
19,19,6,17,72
8,17,4,15,76
8,27,3,14,79
